player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,true_sg_total,true_sg_ott,true_sg_app,true_sg_arg,true_sg_putt,sg_putt_surface,recent_form_index,form_score_adjusted,comp_course_adjustment_prelim,venue_history_rounds,venue_history_sg,named_risk_tags,likely_anti_pattern_flags,missing_data_notes
Tom McKibbin,-0.07,49.68,DEBUT,not_available_in_v3_source,0.28,0.443,-0.026,0.024,-0.232,not_available_in_v3_source,49.16,49.16,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Michael Kim,-0.11,58.06,DEBUT,not_available_in_v3_source,0.38,-0.182,0.351,0.043,0.346,not_available_in_v3_source,48.68,48.68,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Sami Valimaki,-0.11,49.03,DEBUT,not_available_in_v3_source,0.24,-0.164,0.409,-0.291,0.421,not_available_in_v3_source,48.68,48.68,not_available_in_v3_source,0,,standard major championship variance,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Brooks Koepka,0.53,43.87,FULL,not_available_in_v3_source,0.75,0.167,0.235,-0.01,-0.278,not_available_in_v3_source,56.36,56.36,not_available_in_v3_source,1,2.552,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ryan Fox,0.51,55.48,FULL,not_available_in_v3_source,0.98,0.191,0.222,0.066,0.024,not_available_in_v3_source,56.12,56.12,not_available_in_v3_source,1,0.022,approach liability in primary scoring zone,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Michael Brennan,0.07,52.9,DEBUT,not_available_in_v3_source,0.5,0.881,0.126,-0.373,-0.278,not_available_in_v3_source,50.84,50.84,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Eugenio Chacarra,1.3,43.23,DEBUT,not_available_in_v3_source,1.51,0.141,-0.053,-0.004,-0.014,not_available_in_v3_source,65.6,65.6,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Francesco Molinari,0.26,31.61,FULL,not_available_in_v3_source,0.04,0.055,0.267,0.016,-0.823,not_available_in_v3_source,53.12,53.12,not_available_in_v3_source,1,-0.478,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Andrew Novak,-0.27,45.16,DEBUT,not_available_in_v3_source,-0.05,0.107,0.175,0.131,-0.242,not_available_in_v3_source,46.76,46.76,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ryo Hisatsune,-0.07,46.45,DEBUT,not_available_in_v3_source,0.17,0.429,0.302,-0.028,-0.183,not_available_in_v3_source,49.16,49.16,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Hennie Du Plessis,-0.47,47.1,DEBUT,not_available_in_v3_source,-0.17,0.343,0.184,0.009,-0.585,not_available_in_v3_source,44.36,44.36,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Lucas Herbert,0.08,38.71,DEBUT,not_available_in_v3_source,0.16,0.16,0.152,0.014,-0.167,not_available_in_v3_source,50.96,50.96,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Marco Penge,-1.03,56.77,DEBUT,not_available_in_v3_source,-0.55,0.85,0.032,-0.208,-0.065,not_available_in_v3_source,37.64,37.64,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Keita Nakajima,0.92,41.29,DEBUT,not_available_in_v3_source,1.08,0.058,0.127,-0.239,0.374,not_available_in_v3_source,61.04,61.04,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Scott Vincent,1.14,41.94,DEBUT,not_available_in_v3_source,1.33,-0.115,-0.174,-0.017,1.172,not_available_in_v3_source,63.68,63.68,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Haotong Li,-0.92,38.06,FULL,not_available_in_v3_source,-0.85,0.374,0.224,-0.301,-0.116,not_available_in_v3_source,38.96,38.96,not_available_in_v3_source,1,3.052,below-field structural skill profile,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Henrik Stenson,0,18.71,FULL,not_available_in_v3_source,0,0.145,0.369,-0.285,-0.74,not_available_in_v3_source,34.76,34.76,not_available_in_v3_source,2,2.46,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ren Yonezawa,0.16,22.58,DEBUT,not_available_in_v3_source,-0.53,0.144,0.809,0.717,-0.828,not_available_in_v3_source,51.92,51.92,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Stewart Cink,0.24,36.13,FULL,not_available_in_v3_source,0.24,0.105,-1.515,0.223,0.464,not_available_in_v3_source,52.88,52.88,not_available_in_v3_source,2,-1.218,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Casey Jarvis,-0.13,39.35,DEBUT,not_available_in_v3_source,-0.04,-0.041,0.08,-0.414,0.071,not_available_in_v3_source,48.44,48.44,not_available_in_v3_source,0,,below-field structural skill profile,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Dan Brown,-0.59,37.42,DEBUT,not_available_in_v3_source,-0.56,0.044,0.468,-0.198,-0.191,not_available_in_v3_source,42.92,42.92,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Dan Bradbury,-0.63,30.97,DEBUT,not_available_in_v3_source,-0.86,0.181,0.652,-0.424,-0.339,not_available_in_v3_source,42.44,42.44,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Sungjae Im,-0.46,40.0,DEBUT,not_available_in_v3_source,-0.31,0.23,-0.567,0.462,0.112,not_available_in_v3_source,44.48,44.48,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Max Greyserman,0.05,42.58,DEBUT,not_available_in_v3_source,0.25,-0.117,-0.114,0.148,0.054,not_available_in_v3_source,50.6,50.6,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Andy Sullivan,-0.03,32.26,FULL,not_available_in_v3_source,-0.22,-0.187,-0.111,-0.012,0.097,not_available_in_v3_source,49.64,49.64,not_available_in_v3_source,1,-0.198,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jose Luis Ballester,-1.0,45.81,DEBUT,not_available_in_v3_source,-0.77,0.728,-0.328,-0.368,-0.088,not_available_in_v3_source,38.0,38.0,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Antoine Rozner,0.04,34.19,DEBUT,not_available_in_v3_source,-0.12,-0.138,0.329,-0.135,-0.136,not_available_in_v3_source,50.48,50.48,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jackson Suber,1.27,36.77,DEBUT,not_available_in_v3_source,1.28,0.12,0.054,-0.035,-0.101,not_available_in_v3_source,65.24,65.24,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Billy Horschel,-0.17,34.84,FULL,not_available_in_v3_source,-0.31,-0.258,0.228,-0.153,0.154,not_available_in_v3_source,47.96,47.96,not_available_in_v3_source,1,-2.978,below-field structural skill profile,Anti-pattern flags: Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Aldrich Potgieter,0.99,35.48,DEBUT,not_available_in_v3_source,0.86,0.465,-0.037,-0.326,-0.182,not_available_in_v3_source,61.88,61.88,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Francesco Laporta,-0.62,28.39,DEBUT,not_available_in_v3_source,-0.97,0.212,-0.221,0.024,-0.338,not_available_in_v3_source,42.56,42.56,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Laurie Canter,0.27,27.74,FULL,not_available_in_v3_source,-0.17,0.422,-0.038,-0.307,-0.414,not_available_in_v3_source,53.24,53.24,not_available_in_v3_source,1,1.052,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jesper Svensson,0.63,33.55,DEBUT,not_available_in_v3_source,0.46,0.571,-0.137,-0.165,-0.336,not_available_in_v3_source,57.56,57.56,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Alistair Docherty,0.32,23.87,DEBUT,not_available_in_v3_source,-0.29,0,0,0,0,not_available_in_v3_source,53.84,53.84,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Cameron Smith,0.6,40.65,FULL,not_available_in_v3_source,0.76,-0.548,-0.237,0.561,0.552,not_available_in_v3_source,57.2,57.2,not_available_in_v3_source,1,-1.478,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Bernd Wiesberger,0.57,29.03,FULL,not_available_in_v3_source,0.25,-0.126,0.059,0.028,-0.57,not_available_in_v3_source,56.84,56.84,not_available_in_v3_source,1,-0.448,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Kota Kaneko,0.43,32.9,DEBUT,not_available_in_v3_source,0.25,-0.441,0.051,0.006,0.548,not_available_in_v3_source,55.16,55.16,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Austen Truslow,0,23.23,DEBUT,not_available_in_v3_source,-0.64,0,0,0,0,not_available_in_v3_source,50.0,50.0,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Kazuma Kobori,0.31,24.52,DEBUT,not_available_in_v3_source,-0.3,-0.345,-0.121,-0.041,-0.078,not_available_in_v3_source,53.72,53.72,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Shaun Norris,1.25,18.06,FULL,not_available_in_v3_source,0.34,-0.516,-0.548,0.096,0.657,not_available_in_v3_source,65.0,65.0,not_available_in_v3_source,1,0.052,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Adrien Saddier,-0.54,29.68,DEBUT,not_available_in_v3_source,-0.83,0.174,-0.083,0.008,-0.174,not_available_in_v3_source,43.52,43.52,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Ryutaro Nagano,0.21,17.42,DEBUT,not_available_in_v3_source,-0.71,0,0,0,0,not_available_in_v3_source,52.52,52.52,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Trav Smyth,-0.28,21.29,DEBUT,not_available_in_v3_source,-1.0,-1.23,-0.178,-0.03,0.332,not_available_in_v3_source,46.64,46.64,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Tim Wiedemeyer,0.46,14.84,DEBUT,not_available_in_v3_source,-0.67,0,0,0,0,not_available_in_v3_source,55.52,55.52,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Matthew Jordan,-0.04,26.45,DEBUT,not_available_in_v3_source,-0.5,-0.299,-0.335,0.113,-0.257,not_available_in_v3_source,49.52,49.52,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Joe Dean,1.16,19.35,FULL,not_available_in_v3_source,0.33,-0.324,-0.748,0.163,0.15,not_available_in_v3_source,63.92,63.92,not_available_in_v3_source,1,-0.198,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Kazuki Higa,-0.03,20.65,DEBUT,not_available_in_v3_source,-0.78,-0.11,0.571,-0.54,-0.397,not_available_in_v3_source,49.64,49.64,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Joakim Lagergren,-0.22,27.1,DEBUT,not_available_in_v3_source,-0.69,-0.069,-0.267,-0.192,0.249,not_available_in_v3_source,47.36,47.36,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Martin Couvra,-0.4,25.81,DEBUT,not_available_in_v3_source,-0.92,-0.039,-0.234,-0.103,-0.325,not_available_in_v3_source,45.2,45.2,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Cameron John,0.01,12.9,DEBUT,not_available_in_v3_source,-1.34,0,0,0,0,not_available_in_v3_source,50.12,50.12,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Caleb Surratt,-0.67,30.32,DEBUT,not_available_in_v3_source,-0.91,0.104,-0.686,-0.226,0.446,not_available_in_v3_source,41.96,41.96,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Frederic LaCroix,-0.18,21.94,DEBUT,not_available_in_v3_source,-0.89,0.036,-0.061,-0.207,-0.45,not_available_in_v3_source,47.84,47.84,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Michael Hollick,0.76,16.13,DEBUT,not_available_in_v3_source,-0.27,-0.351,0.133,0.146,-0.374,not_available_in_v3_source,59.12,59.12,not_available_in_v3_source,0,,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Stuart Grehan,0.22,9.68,DEBUT,not_available_in_v3_source,-1.45,0,0,0,0,not_available_in_v3_source,52.64,52.64,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
MJ Daffue,0.87,15.48,DEBUT,not_available_in_v3_source,-0.19,0.364,-1.092,-0.012,-0.257,not_available_in_v3_source,60.44,60.44,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Padraig Harrington,1.11,12.26,FULL,not_available_in_v3_source,-0.31,-0.987,0.143,0.178,-0.677,not_available_in_v3_source,63.32,63.32,not_available_in_v3_source,2,2.752,putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Alejandro De Castro Piera,0.67,6.45,DEBUT,not_available_in_v3_source,-1.26,0,0,0,0,not_available_in_v3_source,58.04,58.04,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Darren Clarke,0.65,5.16,FULL,not_available_in_v3_source,-1.38,0.241,-0.555,0.762,-2.202,not_available_in_v3_source,57.8,57.8,not_available_in_v3_source,1,-0.978,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Baard Skogen,0.38,7.1,DEBUT,not_available_in_v3_source,-1.47,0,0,0,0,not_available_in_v3_source,54.56,54.56,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jiho Yang,1.44,1.94,DEBUT,not_available_in_v3_source,-1.34,0,0,0,0,not_available_in_v3_source,67.28,67.28,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
James Nicholas,-0.01,20.0,DEBUT,not_available_in_v3_source,-0.83,-0.259,-1.25,0.022,0.828,not_available_in_v3_source,49.88,49.88,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jack McDonald,0,13.55,DEBUT,not_available_in_v3_source,0,0,0,0,0,not_available_in_v3_source,32.18,32.18,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Marcus Plunkett,-0.09,11.61,DEBUT,not_available_in_v3_source,-1.55,0,0,0,0,not_available_in_v3_source,48.92,48.92,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jeong Woo Ham,-0.48,14.19,DEBUT,not_available_in_v3_source,-1.64,-0.626,-0.906,-0.014,0.807,not_available_in_v3_source,44.24,44.24,not_available_in_v3_source,0,,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jack Buchanan,0.11,4.52,DEBUT,not_available_in_v3_source,-1.92,0,0,0,0,not_available_in_v3_source,51.32,51.32,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Peter Uihlein,-0.62,25.16,FULL,not_available_in_v3_source,-1.18,-1.206,-0.179,0.153,0.613,not_available_in_v3_source,42.56,42.56,not_available_in_v3_source,1,0.802,approach liability in primary scoring zone; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Long-Iron Weakness — exposure in the dominant par-4 approach range at Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Sam Bairstow,-0.24,16.77,DEBUT,not_available_in_v3_source,-1.23,-0.012,-0.392,-0.221,-0.215,not_available_in_v3_source,47.12,47.12,not_available_in_v3_source,0,,approach liability in primary scoring zone; putting volatility on links fescue; below-field structural skill profile,Anti-pattern flags: Approach Liability — below-field in the primary 150–200yd scoring zone; Poor Links Putter — below-field on fescue; links surfaces amplify weak putting; Weak ARG/Links Rough — revetted bunkers and steep run-offs create up-and-down challenge.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
David Howard,0,0.0,DEBUT,not_available_in_v3_source,0,0,0,0,0,not_available_in_v3_source,58.05,58.05,not_available_in_v3_source,0,,below-field structural skill profile,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
