player_name,dg_id,event_name,course_name,VenueDNA_rank,VenueDNA_tier,VenueDNA_final_projection,VenueDNA_neutral_skill,VenueDNA_venue_fit_delta,VenueDNA_venue_history_delta,VenueDNA_penalties_total,VenueDNA_confidence_band,VenueDNA_primary_case,VenueDNA_key_risk,VenueDNA_failure_condition,VenueDNA_conviction,VenueDNA_trait_approach,VenueDNA_trait_long_iron_150_225,VenueDNA_trait_total_driving,VenueDNA_trait_par5_scoring,VenueDNA_trait_easy_green_putting,VenueDNA_trait_course_history,anti_pattern_flags,risk_flags,tags,r1_tee_time,r1_wave,r1_start_hole,r2_tee_time,r2_wave,r2_start_hole,DG_finalprediction_benchmark,DG_stddev_benchmark,DG_coursefittotaladj_benchmark
"Fisk, Steven",26657,3M Open,TPC Twin Cities,43,T5,58.3,56.9,0.1063,-0.02,-2.0,medium,Similar-course delta fit (+0.106 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,52.0,51.7,55.7,39.2,64.7,38.3,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,7:40 AM,early,10,12:55 PM,late,1,0.201,2.767,-0.069
"Nakajima, Keita",21074,3M Open,TPC Twin Cities,44,T5,58.1,57.0,0.0811,0,-2.0,medium,Similar-course delta fit (+0.081 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,58.5,60.1,49.0,48.9,63.7,45.0,long_iron_deficit,long_iron_deficit,T5|approach_solid|venue_fit_upside|flag_long_iron_deficit,1:39 PM,late,10,8:24 AM,early,1,0.251,2.767,-0.001
"Schmid, Matti",20722,3M Open,TPC Twin Cities,45,T5,58.0,55.9,0.1458,0.057,-2.0,medium,Similar-course delta fit (+0.146 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.064); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,51.3,56.5,52.6,38.1,59.0,73.7,accuracy_risk,accuracy_risk,T5|venue_fit_upside|flag_accuracy_risk,12:11 PM,late,10,6:56 AM,early,1,0.007,2.846,-0.136
"Thompson, Davis",27364,3M Open,TPC Twin Cities,46,T5,58.0,61.1,-0.1788,-0.02,0,high,NSI 61.1/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,55.1,52.5,58.0,44.1,38.8,38.3,,,T5|approach_solid,12:33 PM,late,10,7:18 AM,early,1,0.324,2.76,-0.022
"Kim, Michael",17543,3M Open,TPC Twin Cities,47,T5,57.8,62.6,-0.2862,0.012,-4.0,low,NSI 62.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.039); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,51.2,46.0,39.6,52.2,67.5,53.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,12:22 PM,late,10,7:07 AM,early,1,0.489,2.757,-0.011
"Parry, John",13764,3M Open,TPC Twin Cities,48,T5,57.8,59.6,-0.0981,0,0,high,Approach trait score 62/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,62.1,66.1,45.5,62.8,42.5,45.0,,,T5|approach_solid,1:50 PM,late,10,8:35 AM,early,1,0.37,2.677,0.131
"Horschel, Billy",11276,3M Open,TPC Twin Cities,49,T5,57.6,55.4,0.154,0.024,0,high,Approach trait score 66/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,65.5,63.5,41.3,58.0,54.1,58.5,,,T5|approach_solid|venue_fit_upside,12:33 PM,late,1,7:18 AM,early,10,-0.153,2.764,0.025
"Jarvis, Casey",26947,3M Open,TPC Twin Cities,50,T5,57.6,57.9,0.0,0,0,low,Approach trait score 66/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,65.9,60.3,60.3,55.9,48.1,45.0,,,T5|approach_solid|debut,12:55 PM,late,1,7:40 AM,early,10,0.591,2.793,0.081
"Smotherman, Austin",22985,3M Open,TPC Twin Cities,51,T5,57.5,53.4,0.2716,-0.018,0,high,Elite approach SG (+0.73 per round in 2026) produces the approach volume needed in TPC's birdiefest but ball-striking-driven scoring environment,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,74.2,70.3,64.9,59.2,31.4,39.3,,,T5|approach_elite|long_iron_elite|venue_fit_upside,1:06 PM,late,10,7:51 AM,early,1,0.011,2.806,0.113
"Kohles, Ben",16395,3M Open,TPC Twin Cities,52,T5,57.3,56.9,0.0371,0.031,0,high,Approach trait score 73/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,72.6,64.2,53.9,70.9,51.3,61.7,,,T5|approach_elite,12:00 PM,late,1,6:45 AM,early,10,0.705,2.668,0.25
"Pendrith, Taylor",17780,3M Open,TPC Twin Cities,53,T5,57.3,60.5,-0.189,0.006,-2.0,medium,Off-the-tee SG (+0.38/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.040); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,54.2,59.2,67.9,36.9,38.4,50.3,accuracy_risk,accuracy_risk,T5|flag_accuracy_risk,7:18 AM,early,1,12:33 PM,late,10,0.163,2.781,-0.12
"Dumont De Chassart, Adrien",22002,3M Open,TPC Twin Cities,54,T5,57.2,56.5,0.0541,-0.006,-4.0,low,NSI 56.5/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.092); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,57.8,63.9,34.5,42.4,60.6,44.8,accuracy_risk|short_game_only,accuracy_risk|short_game_only,T5|approach_solid|venue_fit_upside|flag_accuracy_risk|flag_short_game_only,8:24 AM,early,10,1:39 PM,late,1,-0.29,2.802,-0.149
"Olesen, Thorbjorn",13412,3M Open,TPC Twin Cities,55,T5,56.0,59.9,-0.2359,0.019,-2.0,medium,NSI 59.9/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,55.3,53.5,55.9,48.0,37.7,56.2,long_iron_deficit,long_iron_deficit,T5|approach_solid|flag_long_iron_deficit,6:56 AM,early,10,12:11 PM,late,1,-0.061,2.772,-0.021
"Blair, Zac",17639,3M Open,TPC Twin Cities,56,T5,55.8,55.9,0.0032,0.031,-2.0,medium,Approach trait score 72/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,72.5,65.1,26.8,81.5,53.9,61.7,long_iron_deficit,long_iron_deficit,T5|approach_elite|flag_long_iron_deficit,12:22 PM,late,1,7:07 AM,early,10,0.391,2.634,0.267
"Hojgaard, Rasmus",23838,3M Open,TPC Twin Cities,57,T5,55.5,63.6,-0.5,0,-4.0,low,NSI 63.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.088); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,53.5,52.6,61.1,27.2,62.6,45.0,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,6:45 AM,early,1,12:00 PM,late,10,-0.162,2.853,-0.236
"Coody, Pierceson",28309,3M Open,TPC Twin Cities,58,T5,55.2,63.3,-0.5,0.015,-2.0,medium,Off-the-tee SG (+0.46/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.021); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,59.5,56.8,71.0,33.1,63.5,54.4,accuracy_risk,accuracy_risk,T5|approach_solid|flag_accuracy_risk,12:11 PM,late,1,6:56 AM,early,10,0.58,2.789,-0.132
"Finau, Tony",11676,3M Open,TPC Twin Cities,59,T5,55.1,57.8,-0.1623,0.048,-4.0,low,NSI 57.8/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.056); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,43.4,47.4,50.7,33.5,52.1,69.5,accuracy_risk|short_game_only,accuracy_risk|short_game_only,T5|venue_experience|flag_accuracy_risk|flag_short_game_only,12:44 PM,late,1,7:29 AM,early,10,0.387,2.83,-0.143
"Dahmen, Joel",14509,3M Open,TPC Twin Cities,60,T5,54.6,53.0,0.112,-0.032,-2.0,medium,Similar-course delta fit (+0.112 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,58.7,54.0,55.4,64.0,23.1,32.8,long_iron_deficit,long_iron_deficit,T5|approach_solid|venue_fit_upside|flag_long_iron_deficit,1:06 PM,late,10,7:51 AM,early,1,-0.005,2.755,0.188
"Ventura, Kristoffer",15651,3M Open,TPC Twin Cities,61,T5,54.6,55.5,-0.0451,-0.022,-2.0,medium,Off-the-tee SG (+0.41/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,37.0,42.8,69.1,36.9,63.9,37.4,long_iron_deficit,long_iron_deficit,T5|flag_long_iron_deficit,1:50 PM,late,1,8:35 AM,early,10,-0.056,2.812,-0.072
"Pavon, Matthieu",19960,3M Open,TPC Twin Cities,62,T5,54.3,50.0,0.2817,0.013,-2.0,medium,Similar-course delta fit (+0.282 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,36.8,41.4,57.6,44.7,56.8,53.5,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,7:51 AM,early,10,1:06 PM,late,1,-0.335,2.801,0.005
"Jaeger, Stephan",16394,3M Open,TPC Twin Cities,63,T5,52.9,57.8,-0.305,-0.03,-4.0,low,NSI 57.8/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.094); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,44.6,48.4,41.1,39.2,58.2,33.7,accuracy_risk|short_game_only,accuracy_risk|short_game_only,T5|flag_accuracy_risk|flag_short_game_only,7:40 AM,early,1,12:55 PM,late,10,-0.031,2.831,-0.146
"Greyserman, Max",23465,3M Open,TPC Twin Cities,64,T5,52.5,60.5,-0.5,0.03,-4.0,low,NSI 60.5/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.056); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,48.9,52.1,53.2,34.9,55.8,61.3,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,6:45 AM,early,1,12:00 PM,late,10,0.331,2.833,-0.148
"Griffin, Lanto",15330,3M Open,TPC Twin Cities,65,T5,52.5,52.3,0.0119,-0.027,-2.0,medium,NSI 52.3/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,41.5,49.0,44.3,53.5,53.5,35.1,long_iron_deficit,long_iron_deficit,T5|flag_long_iron_deficit,1:17 PM,late,10,8:02 AM,early,1,-0.355,2.743,0.04
"Li, Haotong",15310,3M Open,TPC Twin Cities,66,T5,52.3,56.1,-0.2383,-0.003,0,high,Off-the-tee SG (+0.35/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,49.5,51.8,66.7,38.4,48.6,46.1,,,T5,2:01 PM,late,10,8:46 AM,early,1,-0.159,2.846,-0.075
"Hossler, Beau",15470,3M Open,TPC Twin Cities,67,T5,51.9,56.6,-0.2951,-0.017,-4.0,low,NSI 56.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,36.9,36.0,50.3,47.6,70.2,39.7,putting_dependency|long_iron_deficit,putting_dependency|long_iron_deficit,T5|venue_experience|flag_putting_dependency|flag_long_iron_deficit,8:13 AM,early,10,1:28 PM,late,1,0.372,2.762,-0.002
"Garnett, Brice",11451,3M Open,TPC Twin Cities,68,T5,51.8,45.1,0.4252,0.084,-2.0,medium,Similar-course delta fit (+0.425 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,49.1,53.0,40.0,66.5,53.6,86.1,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|venue_experience|flag_long_iron_deficit,12:22 PM,late,10,7:07 AM,early,1,-0.151,2.743,0.192
"Higgo, Garrick",24342,3M Open,TPC Twin Cities,69,T5,51.8,51.1,0.0473,0.009,-2.0,medium,NSI 51.1/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,driving accuracy flag active (adj -0.042); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,50.3,53.7,54.0,41.1,47.3,51.6,accuracy_risk,accuracy_risk,T5|flag_accuracy_risk,7:40 AM,early,1,12:55 PM,late,10,-0.247,2.835,-0.101
"Keefer, Johnny",32457,3M Open,TPC Twin Cities,70,T5,51.8,59.2,-0.4642,0,0,high,Approach trait score 63/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,62.6,59.8,71.3,36.7,33.3,45.0,,,T5|approach_solid,1:28 PM,late,1,8:13 AM,early,10,0.466,2.816,-0.094
"Stout, Preston",32089,3M Open,TPC Twin Cities,71,T5,51.8,55.1,-0.2038,0,0,high,NSI 55.1/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,59.6,62.1,53.3,41.3,32.6,47.5,,,T5|approach_solid,1:39 PM,late,1,8:24 AM,early,10,-0.093,2.821,-0.06
"Kanaya, Takumi",19729,3M Open,TPC Twin Cities,72,T5,51.7,55.3,-0.2222,0.031,-4.0,low,NSI 55.3/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; short-game-only profile; TPC does not reward scrambling over ball-striking,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,32.1,27.6,48.6,59.2,67.5,61.7,short_game_only|long_iron_deficit,short_game_only|long_iron_deficit,T5|flag_short_game_only|flag_long_iron_deficit,12:22 PM,late,1,7:07 AM,early,10,0.094,2.721,0.152
"Eckroat, Austin",26653,3M Open,TPC Twin Cities,73,T5,51.4,56.1,-0.2953,0.002,0,high,Long-iron SG of +0.048/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,64.1,69.8,42.8,54.1,56.8,48.4,,,T5|approach_solid,12:11 PM,late,1,6:56 AM,early,10,-0.092,2.764,0.004
"Potgieter, Aldrich",27900,3M Open,TPC Twin Cities,74,T5,51.1,53.8,-0.1659,0,-2.0,medium,Off-the-tee SG (+0.62/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.091); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,56.1,59.8,77.9,15.7,46.0,45.0,accuracy_risk,accuracy_risk,T5|approach_solid|flag_accuracy_risk,12:44 PM,late,10,7:29 AM,early,1,-0.001,2.9,-0.315
"Lebioda, Hank",21943,3M Open,TPC Twin Cities,75,T5,50.9,45.7,0.3285,0.059,-2.0,medium,Long-iron SG of +0.053/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,driving accuracy flag active (adj -0.029); penalty exposure on 9 water-threatened driving holes is the primary downside scenario,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,62.0,63.5,43.1,58.2,31.2,74.6,accuracy_risk,accuracy_risk,T5|approach_solid|venue_fit_upside|venue_experience|flag_accuracy_risk,12:00 PM,late,1,6:45 AM,early,10,-0.543,2.808,0.012
"Moore, Taylor",21944,3M Open,TPC Twin Cities,76,T5,50.9,56.0,-0.3192,0.048,-4.0,low,Off-the-tee SG (+0.40/round) provides the controlled power model; distance with accuracy avoids the water threats that punish erratic bombers,driving accuracy flag active (adj -0.045); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,42.2,42.0,68.8,36.5,54.7,69.5,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|flag_accuracy_risk|flag_long_iron_deficit,6:45 AM,early,10,12:00 PM,late,1,0.074,2.811,-0.118
"Suber, Jackson",29279,3M Open,TPC Twin Cities,77,T5,50.8,56.1,-0.3337,-0.008,-2.0,medium,NSI 56.1/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,55.3,54.8,54.7,45.3,44.1,43.8,long_iron_deficit,long_iron_deficit,T5|approach_solid|flag_long_iron_deficit,1:39 PM,late,1,8:24 AM,early,10,0.578,2.824,-0.03
"Svensson, Adam",13997,3M Open,TPC Twin Cities,78,T5,50.5,46.0,0.283,0.046,0,high,Similar-course delta fit (+0.283 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,59.6,62.0,35.6,64.5,29.0,68.6,,,T5|approach_solid|venue_fit_upside|venue_experience,12:11 PM,late,10,6:56 AM,early,1,-0.36,2.758,0.114
"Higgs, Harry",14140,3M Open,TPC Twin Cities,79,T5,49.9,42.0,0.4964,-0.026,-4.0,low,Similar-course delta fit (+0.496 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.027); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,low,45.9,45.8,49.2,44.3,36.8,35.6,accuracy_risk|long_iron_deficit,accuracy_risk|long_iron_deficit,T5|venue_fit_upside|flag_accuracy_risk|flag_long_iron_deficit,6:56 AM,early,10,12:11 PM,late,1,-0.677,2.837,-0.056
"Cowan, Ryder",35481,3M Open,TPC Twin Cities,80,T5,49.2,41.7,0.4703,0,0,medium,Similar-course delta fit (+0.470 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,unknown,unknown,50.3,43.2,unknown,45.0,,,T5|venue_fit_upside,8:35 AM,early,10,1:50 PM,late,1,-0.654,2.853,-0.052
"Glover, Lucas",7399,3M Open,TPC Twin Cities,81,T5,49.2,55.6,-0.4106,-0.037,0,high,NSI 55.6/100 reflects baseline skill; scoring upside at TPC tied to approach conversion rather than short-game recovery,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,55.6,48.9,53.4,65.7,24.8,30.5,,,T5|approach_solid,7:40 AM,early,10,12:55 PM,late,1,0.18,2.711,0.218
"Lower, Justin",17723,3M Open,TPC Twin Cities,82,T5,49.2,42.0,0.4524,-0.007,-2.0,medium,Similar-course delta fit (+0.452 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,36.2,37.2,40.7,60.5,44.6,44.3,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,1:17 PM,late,10,8:02 AM,early,1,-0.668,2.82,0.126
"Chatfield, Davis",30620,3M Open,TPC Twin Cities,83,T5,49.0,47.2,0.1076,0,-2.0,medium,Similar-course delta fit (+0.108 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,56.9,52.0,37.1,80.9,45.3,45.0,long_iron_deficit,long_iron_deficit,T5|approach_solid|venue_fit_upside|flag_long_iron_deficit,1:50 PM,late,10,8:35 AM,early,1,-0.141,2.672,0.302
"Hubbard, Mark",16333,3M Open,TPC Twin Cities,84,T5,48.8,50.8,-0.1277,-0.007,0,high,Approach trait score 60/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,below-field approach and/or iron play limits scoring capacity in TPC's birdiefest environment where approach is the primary separator,Approach play below field median for the week; TPC's scoring environment still requires birdie volume that cannot be manufactured from short-game rescue alone,low,60.5,60.0,42.6,58.8,23.7,44.3,,,T5|approach_solid,7:07 AM,early,1,12:22 PM,late,10,-0.428,2.795,0.052
"Silverman, Ben",17381,3M Open,TPC Twin Cities,85,T5,48.7,45.8,0.1757,-0.044,-2.0,medium,Similar-course delta fit (+0.176 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues,Below-average ball-striking combined with flat putting week produces limited birdie creation; missing cut is likely if approach play doesn't compensate,low,42.8,46.9,38.7,62.0,70.6,27.3,putting_dependency,putting_dependency,T5|venue_fit_upside|flag_putting_dependency,12:11 PM,late,1,6:56 AM,early,10,-0.482,2.747,0.114
"VanDerLaan, John",25319,3M Open,TPC Twin Cities,86,T5,48.7,44.7,0.2466,0,-2.0,medium,Similar-course delta fit (+0.247 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention,A week where 150-200 fw SG falls to -0.02 or below means failing to generate the birdie density this course requires; T40+ result likely,low,34.7,34.6,47.5,41.4,41.2,45.0,long_iron_deficit,long_iron_deficit,T5|venue_fit_upside|flag_long_iron_deficit,8:35 AM,early,10,1:50 PM,late,1,-0.726,2.892,-0.048
