player_name,rank,tier,headline,scouting_report,form_note,win_case,risk_vector,strength_tags,weakness_tags,course_fit_delta,baseline_sg,projected_sg,recent_true_sg_l20,vs_baseline_l20,raw_recent_starts
Michael Brennan,27,T2,Approach-Led Scoring Path,"Michael Brennan brings a baseline of 0.370 SG with a modeled 3M Open projection of 0.426. The venue fit sits near neutral at -0.066, so this week leans more on execution than on receiving free structural help from the course. Best signals: approach-zone scoring (+0.154), timing signal (+0.023). Main leaks: distance leverage (-0.168), course-history calibration (-0.046).","Recent form: John Deere Classic T33; Genesis Scottish Open T52; The Open Championship T53. His last-20 true SG is 0.46, and he is holding neutral versus baseline (-0.02).","Michael Brennan's win path is built on approach-zone scoring (+0.154); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Michael Brennan's soft spots are distance leverage (-0.168), course-history calibration (-0.046), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['approach-zone scoring (+0.154)', 'timing signal (+0.023)']","['distance leverage (-0.168)', 'course-history calibration (-0.046)']",-0.066,0.37,0.426,0.46,-0.02,pga-rbc canadian open-CUT_major-u.s. open-T43_pga-john deere classic-T33_pga-genesis scottish open-T52_major-the open championship-T53
Andrew Putnam,28,T2,Fairway-First Birdie Profile,"Andrew Putnam brings a baseline of 0.360 SG with a modeled 3M Open projection of 0.413. This is a positive TPC Twin Cities build: the course-fit delta is +0.209, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: distance leverage (+0.214), driving accuracy (+0.101), course-history calibration (+0.027). Main leaks: approach-zone scoring (-0.135), timing signal (-0.062).","Recent form: U.s. Open T65; John Deere Classic T51; Genesis Scottish Open T52. His last-20 true SG is -0.06, and he is cooling off versus baseline (-0.27).","Andrew Putnam's win path is built on distance leverage (+0.214); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Andrew Putnam's soft spots are approach-zone scoring (-0.135), timing signal (-0.062), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['distance leverage (+0.214)', 'driving accuracy (+0.101)', 'course-history calibration (+0.027)']","['approach-zone scoring (-0.135)', 'timing signal (-0.062)']",0.209,0.36,0.413,-0.06,-0.27,pga-charles schwab challenge-T17_pga-rbc canadian open-CUT_major-u.s. open-T65_pga-john deere classic-T51_pga-genesis scottish open-T52
Player 29,29,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 30,30,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 31,31,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 32,32,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 33,33,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 34,34,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 35,35,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 36,36,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 37,37,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 38,38,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 39,39,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 40,40,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 41,41,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 42,42,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 43,43,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 44,44,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 45,45,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 46,46,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 47,47,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 48,48,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 49,49,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 50,50,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 51,51,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 52,52,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 53,53,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 54,54,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 55,55,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 56,56,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 57,57,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 58,58,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 59,59,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 60,60,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 61,61,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 62,62,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 63,63,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 64,64,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 65,65,T3,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 66,66,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 67,67,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 68,68,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 69,69,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 70,70,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 71,71,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 72,72,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 73,73,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 74,74,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 75,75,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 76,76,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 77,77,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 78,78,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 79,79,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 80,80,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 81,81,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 82,82,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 83,83,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 84,84,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 85,85,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 86,86,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 87,87,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 88,88,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 89,89,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 90,90,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 91,91,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 92,92,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 93,93,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 94,94,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 95,95,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 96,96,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 97,97,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 98,98,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 99,99,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 100,100,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 101,101,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 102,102,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 103,103,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 104,104,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 105,105,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 106,106,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 107,107,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 108,108,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 109,109,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 110,110,T4,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 111,111,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 112,112,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 113,113,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 114,114,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 115,115,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 116,116,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 117,117,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 118,118,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 119,119,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 120,120,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 121,121,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 122,122,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 123,123,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 124,124,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 125,125,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 126,126,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 127,127,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 128,128,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 129,129,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 130,130,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 131,131,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 132,132,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 133,133,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 134,134,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 135,135,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 136,136,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 137,137,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 138,138,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 139,139,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 140,140,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 141,141,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 142,142,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 143,143,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
Player 144,144,T5,"Balanced Profile, Thin Edge",Needs generated copy once full raw record is loaded into the enrichment pass.,Recent form placeholder.,Pending full-card enrichment.,Pending full-card enrichment.,[],[],0.0,0.0,0.0,,,
